x xf_bbar xf_cbar xf_sbar xf_ubar xf_dbar xf_gluon xf_d xf_u xf_s xf_c xf_b
1.1704587663512183e-05 -7.032906007419709e-16 8.608578123136548 9.023553212446553 9.266409201498028 9.267127442959708 346.14298046816253 9.278631385378924 9.289461234645554 9.023452086320313 8.608578123136546 -5.679459313298433e-16
1.1749607013885663e-05 -7.098958047585674e-16 8.595152543239825 9.009874215282222 9.252610232946246 9.253330137131087 345.5518103395383 9.26484869002456 9.27569341293676 9.009772803148229 8.595152543239823 -5.765255523955666e-16
1.1794799522166674e-05 -7.169661791456447e-16 8.58174371143919 8.996212108256524 9.23882813287532 9.23954970363933 344.9614458564094 9.251082889192144 9.261942502777647 8.996110409314975 8.58174371143919 -5.846850167118485e-16
1.1840165854372352e-05 -7.244832733824897e-16 8.568351796284606 8.982567062559303 9.22506307339025 9.225786314596789 344.3718946217655 9.23733415498521 9.248208676226131 8.982465076008355 8.568351796284604 -5.924306893139122e-16
1.188570667908163e-05 -7.324281362824416e-16 8.55497696287769 8.96893924588289 9.21131522308205 9.212040138601942 343.7831640798027 9.223602655994593 9.234492101828716 8.968836970918634 8.554976962877689 -5.997691541363804e-16
1.19314226674449e-05 -7.407813075848722e-16 8.54161937277017 8.95532882231904 9.197584746924129 9.198311340635778 343.19526151128497 9.209888557194873 9.220792944516946 8.955226258135497 8.54161937277017 -6.067072178931234e-16
1.1977314493194095e-05 -7.495228094282095e-16 8.528279183860512 8.941735952254021 9.183871806166847 9.184600081956352 342.6081940288228 9.19619201983895 9.20711136550205 8.94163309804312 8.52827918386051 -6.132519140133373e-16
1.2023382832652425e-05 -7.586321377023152e-16 8.514956550288906 8.928160792262036 9.170176558230365 9.17090651999164 342.02196857207684 9.182513201350941 9.193447522167864 8.928057647213592 8.514956550288906 -6.194105066344766e-16
1.2069628364744519e-05 -7.680882532787814e-16 8.501651622330387 8.914603494996701 9.156499156595578 9.15723080823047 341.4365919028758 9.168852255217162 9.179801567961874 8.914500058298419 8.501651622330385 -6.251904946528979e-16
1.2116051771006348e-05 -7.778695731174461e-16 8.48836454628618 8.901064209080824 9.142839750693287 9.143573096111703 340.852070600255 9.155209330875323 9.16617365228445 8.900960479918258 8.488364546286178 -6.30599615832887e-16
1.2162653735595203e-05 -7.879539612475582e-16 8.475095464373258 8.887543078994264 9.129198485791493 9.129933528911534 340.26841105541183 9.14158457360189 9.152563920376242 8.887439056550816 8.475095464373258 -6.356458509748805e-16
1.2209434945299952e-05 -7.983187196220183e-16 8.461844514611949 8.874040244959858 9.115575502880734 9.116312247628812 339.68561946657354 9.127978124397439 9.138972513203612 8.87393592841676 8.461844514611947 -6.403374281436771e-16
1.2256396089550952e-05 -8.089405788429132e-16 8.448611830711783 8.860555842827583 9.101970938557608 9.10270938886859 339.1037018337838 9.114390119870247 9.125399567342246 8.860451231363879 8.448611830711782 -6.446828269573668e-16
1.2303537860430421e-05 -8.1979568875683875e-16 8.435397541955313 8.847090003956607 9.088384924906231 9.089125084723573 338.52266395359777 9.100820692117782 9.111845214858695 8.84698509674913 8.43539754195531 -6.486907829378498e-16
1.2350860952682428e-05 -8.308596089181401e-16 8.422201773080106 8.833642855095526 9.074817589377838 9.07555946265373 337.94251141369335 9.087269968606353 9.09830958319009 8.833537651318881 8.422201773080104 -6.523702919236795e-16
1.239836606372334e-05 -8.421072989185495e-16 8.409024644158665 8.820214518260478 9.061269054668267 9.062012645363762 337.3632495873883 9.073738072048634 9.08479279502171 8.820109017087034 8.409024644158663 -6.557306145461198e-16
1.2446053893651895e-05 -8.535131085812847e-16 8.395866270476493 8.806805110611378 9.047739438593533 9.048484750678703 336.78488362807235 9.060225120279293 9.071294968162656 8.806699311211245 8.39586627047649 -6.587812807691748e-16
1.249392514525972e-05 -8.650507680180571e-16 8.38272676240798 8.79341474432596 9.034228853963196 9.034975891417288 336.20741846354093 9.046731226128411 9.057816215419336 8.793308645866954 8.382726762407978 -6.615320944944947e-16
1.2541980524041488e-05 -8.766933775470112e-16 8.369606225290415 8.780043526471864 9.020737408451811 9.021486175263382 335.6308587902423 9.033256497292983 9.044356644466996 8.779937128119512 8.369606225290413 -6.639931382319476e-16
1.2590220738205517e-05 -8.890551262470001e-16 8.356505938227535 8.76669275516701 9.007266406927615 9.008016907050617 335.05526305037296 9.019802238144097 9.030917559127747 8.766586056089878 8.356505938227533 -6.660055722142249e-16
1.2638646498684007e-05 -9.314674103955498e-16 8.343479933133246 8.753417258078589 8.993870959850248 8.994623195231275 334.4831052215675 9.006423535307333 9.017554021796622 8.753310257688106 8.343479933133244 -6.598387627477774e-16
1.2687258519143691e-05 -9.711085792292967e-16 8.3304680551989 8.74015599485487 8.98048971215456 8.98124368700286 333.91163070341844 8.993059060396648 9.004204731116214 8.740048692286232 8.330468055198898 -6.541501852736734e-16
1.2736057515996279e-05 -1.0080079489735533e-15 8.317470496404281 8.726909160486136 8.967122859896682 8.967878578427424 333.34084815708786 8.979709009450948 8.990869883063477 8.726801554872642 8.31747049640428 -6.489355706817297e-16
1.2785044208408934e-05 -1.0421959817166232e-15 8.304487446388622 8.713676947588644 8.953770596747843 8.954528063182165 332.77076613595597 8.966373576124917 8.977549671231849 8.713569038061705 8.30448744638862 -6.441904707905319e-16
1.283421931831506e-05 -1.0737043061777639e-15 8.291519092369885 8.700459546322698 8.940433113911975 8.941192332477035 332.2013930819442 8.953052951606661 8.964244286748942 8.700351332011822 8.291519092369885 -6.399102550663529e-16
1.2883583570424728e-05 -1.102565738778115e-15 8.278565619062691 8.687257144309315 8.927110600041955 8.92787157497097 331.6327373217782 8.939747324533963 8.950953918192834 8.687148624342099 8.27856561906269 -6.360901072940017e-16
1.2933137692235561e-05 -1.128814305019175e-15 8.265627208594742 8.67406992654537 8.913803241154293 8.91456597668659 331.06480706318064 8.926456880909017 8.937678751506814 8.673961100047508 8.265627208594742 -6.327250221988917e-16
1.2982882414043259e-05 -1.1524852611723595e-15 8.252704040421868 8.660898075317359 8.900511220542416 8.901275720923492 330.49761039100207 8.91318180401174 8.924418969912754 8.660788941412617 8.252704040421866 -6.29809802019751e-16
1.3032818468952555e-05 -1.173615116284233e-15 8.239796291241476 8.647741770113512 8.887234718688335 8.888000988169896 329.9311552632808 8.89992227431146 8.911174753822811 8.64763232792374 8.239796291241476 -6.273390530312574e-16
